file	unwrap_used	expect_used	reason
subset_julia_vm_vm/src/vm/exec/arithmetic.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/array_basic.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/array_index.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/array_index_slice.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/array_mutate.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/binary_both.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/binary_no_fallback.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/call.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/call_dynamic.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/call_dynamic_binary.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/call_dynamic_typed.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/call_function_variable.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/comparison.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/conversion.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/dict.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/error_handling.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/hof.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/handler_table.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/iterator.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/jump.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/locals.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/matrix.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/memory.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/mod.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/named_tuple.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/pairs.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/print.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/range.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/return_ops.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/rng.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/set.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/sleep.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/stack.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/string_ops.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/struct_ops.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/exec/tuple.rs	true	true	zero unwrap/expect execution module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_collections.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_dicts.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_exec.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_numeric.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_strings.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_types.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/builtins_types_conversion.rs	true	true	zero unwrap/expect builtin module fixed before Issue #8706 ratchet
subset_julia_vm_vm/src/vm/convert.rs	true	true	zero unwrap/expect conversion module fixed before Issue #8706 ratchet
subset_julia_vm/src/repl/session.rs	true	true	zero real unwrap/expect after Issue #10906 converted the sole site (session.rs:550) to a guarded match; rest is #[cfg(test)]
subset_julia_vm/src/repl/converters.rs	true	true	zero real unwrap/expect/panic; all matches are inside #[cfg(test)] (Issue #10906 Phase 1c of #10869)
subset_julia_vm/src/repl/globals.rs	true	true	zero real unwrap/expect; all matches are inside #[cfg(test)] (Issue #10906 Phase 1c of #10869)
subset_julia_vm_compile/src/compile/cache.rs	true	true	cache-load boundary, zero real unwrap/expect; all matches are inside #[cfg(test)] (Issue #10906 Phase 1c of #10869)
subset_julia_vm_compile/src/compile/embedded_cache.rs	true	true	cache-load boundary, zero unwrap/expect of any kind (Issue #10906 Phase 1c of #10869)
subset_julia_vm_compile/src/compile/preload_cache.rs	true	true	cache-load boundary, zero real unwrap/expect; all matches are inside #[cfg(test)] (Issue #10906 Phase 1c of #10869)
subset_julia_vm_compile/src/compile/seeded_cache.rs	true	true	cache-load boundary, zero real unwrap/expect/panic; all matches are inside #[cfg(test)] (Issue #10906 Phase 1c of #10869)
